geoid,month,evictions
4012020101,2023-08,1
4013010102,2023-01,1
4013010102,2023-11,1
4013010102,2024-10,1
4013010103,2022-04,1
4013010103,2023-03,1
4013010103,2023-07,2
4013010103,2023-08,1
4013010103,2024-07,1
4013010104,2022-07,1
4013030401,2022-05,1
4013030401,2024-04,1
4013030401,2024-10,1
4013030402,2022-03,1
4013030402,2022-05,1
4013030402,2022-06,1
4013030402,2022-07,1
4013030402,2022-10,2
4013030402,2022-12,1
4013030402,2023-01,1
4013030402,2023-05,1
4013030402,2023-10,3
4013030402,2024-01,3
4013030402,2024-02,1
4013030402,2024-03,1
4013030402,2024-04,2
4013030402,2024-06,2
4013030402,2024-09,2
4013030402,2024-12,1
4013040502,2022-01,2
4013040502,2022-02,1
4013040502,2022-05,5
4013040502,2022-07,4
4013040502,2022-08,2
4013040502,2022-09,6
4013040502,2022-10,1
4013040502,2022-11,1
4013040502,2022-12,2
4013040502,2023-01,1
4013040502,2023-02,3
4013040502,2023-04,2
4013040502,2023-05,1
4013040502,2023-06,3
4013040502,2023-07,1
4013040502,2023-08,1
4013040502,2023-09,2
4013040502,2023-12,2
4013040502,2024-01,3
4013040502,2024-02,1
4013040502,2024-03,1
4013040502,2024-04,6
4013040502,2024-05,3
4013040502,2024-06,3
4013040502,2024-07,4
4013040502,2024-08,2
4013040502,2024-10,4
4013040502,2024-12,2
4013040506,2022-06,1
4013040506,2022-09,1
4013040506,2023-07,1
4013040506,2023-11,1
4013040506,2024-10,2
4013040507,2022-02,1
4013040507,2022-07,1
4013040507,2023-11,1
4013040507,2024-06,1
4013040507,2024-07,1
4013040507,2024-09,1
4013040513,2022-02,1
4013040513,2022-03,1
4013040513,2022-09,1
4013040514,2022-02,1
4013040514,2022-04,1
4013040514,2024-02,1
4013040514,2024-05,1
4013040514,2024-12,1
4013040515,2022-03,1
4013040515,2022-07,1
4013040515,2022-10,2
4013040515,2023-01,1
4013040515,2023-05,1
4013040515,2023-06,2
4013040515,2023-07,1
4013040515,2023-11,2
4013040515,2024-02,2
4013040515,2024-03,1
4013040515,2024-04,1
4013040515,2024-08,1
4013040515,2024-10,1
4013040515,2024-11,1
4013040515,2024-12,1
4013040516,2022-02,1
4013040516,2022-05,1
4013040516,2022-06,1
4013040516,2022-11,1
4013040516,2023-11,1
4013040516,2024-07,1
4013040516,2024-09,1
4013040516,2024-10,1
4013040522,2022-08,1
4013040522,2023-05,1
4013040522,2023-08,1
4013040522,2024-06,1
4013040522,2024-07,1
4013040523,2022-08,1
4013040523,2023-03,1
4013040523,2024-12,1
4013040524,2022-06,1
4013040525,2022-10,1
4013040526,2024-09,1
4013040527,2022-02,2
4013040527,2022-03,1
4013040527,2022-04,1
4013040527,2022-05,2
4013040527,2022-06,1
4013040527,2022-07,2
4013040527,2022-08,2
4013040527,2022-09,1
4013040527,2022-11,2
4013040527,2022-12,1
4013040527,2023-02,1
4013040527,2023-05,1
4013040527,2023-07,2
4013040527,2023-11,1
4013040527,2024-01,1
4013040527,2024-04,1
4013040527,2024-06,1
4013040527,2024-07,3
4013040527,2024-10,2
4013040527,2024-12,1
4013040530,2022-01,1
4013040530,2022-04,2
4013040530,2022-06,3
4013040530,2022-07,1
4013040530,2022-08,1
4013040530,2022-09,2
4013040530,2022-11,1
4013040530,2022-12,1
4013040530,2023-02,2
4013040530,2023-03,3
4013040530,2023-04,1
4013040530,2023-06,3
4013040530,2023-07,1
4013040530,2023-09,3
4013040530,2023-10,3
4013040530,2023-11,3
4013040530,2023-12,1
4013040530,2024-01,1
4013040530,2024-02,2
4013040530,2024-03,1
4013040530,2024-04,1
4013040530,2024-05,2
4013040530,2024-08,3
4013040530,2024-10,3
4013040531,2022-01,1
4013040531,2022-02,1
4013040531,2022-03,1
4013040531,2022-04,2
4013040531,2022-05,2
4013040531,2022-06,2
4013040531,2022-07,2
4013040531,2022-08,3
4013040531,2022-09,1
4013040531,2022-12,2
4013040531,2023-01,1
4013040531,2023-02,2
4013040531,2023-04,2
4013040531,2023-06,2
4013040531,2023-07,2
4013040531,2023-08,1
4013040531,2023-09,1
4013040531,2023-10,1
4013040531,2023-12,2
4013040531,2024-02,2
4013040531,2024-03,3
4013040531,2024-04,2
4013040531,2024-05,1
4013040531,2024-06,1
4013040531,2024-08,2
4013040531,2024-09,2
4013040531,2024-10,3
4013040531,2024-11,1
4013040531,2024-12,5
4013040532,2022-04,1
4013040532,2022-05,2
4013040532,2022-07,1
4013040532,2022-09,3
4013040532,2022-11,1
4013040532,2023-01,2
4013040532,2023-02,2
4013040532,2023-06,1
4013040532,2023-07,1
4013040532,2023-11,1
4013040532,2023-12,1
4013040532,2024-02,1
4013040532,2024-05,1
4013040532,2024-07,2
4013040532,2024-08,4
4013040532,2024-09,1
4013040532,2024-10,1
4013040532,2024-11,1
4013040532,2024-12,2
4013040533,2022-01,1
4013040533,2022-02,1
4013040533,2022-07,2
4013040533,2022-08,1
4013040533,2022-09,1
4013040533,2022-12,1
4013040533,2023-05,2
4013040533,2023-06,1
4013040533,2023-08,3
4013040533,2023-09,2
4013040533,2023-10,2
4013040533,2023-12,2
4013040533,2024-10,1
4013040535,2022-01,1
4013040535,2022-06,1
4013040535,2022-07,1
4013040535,2022-12,1
4013040535,2023-03,1
4013040535,2023-07,1
4013040535,2023-12,1
4013040535,2024-01,1
4013040535,2024-02,1
4013040535,2024-04,2
4013040535,2024-10,2
4013040535,2024-12,1
4013040536,2022-02,1
4013040536,2022-05,1
4013040536,2022-06,2
4013040536,2022-07,1
4013040536,2022-09,1
4013040536,2023-01,1
4013040536,2023-02,1
4013040536,2023-03,2
4013040536,2023-04,2
4013040536,2023-05,1
4013040536,2023-06,1
4013040536,2023-08,2
4013040536,2023-09,1
4013040536,2023-10,2
4013040536,2023-12,5
4013040536,2024-01,4
4013040536,2024-02,3
4013040536,2024-03,3
4013040536,2024-04,2
4013040536,2024-05,2
4013040536,2024-06,1
4013040536,2024-07,2
4013040536,2024-08,1
4013040536,2024-09,1
4013040536,2024-12,1
4013040538,2022-08,1
4013040538,2022-12,1
4013040538,2023-01,1
4013040538,2023-06,1
4013040538,2023-10,1
4013040538,2024-01,1
4013040538,2024-03,3
4013040538,2024-04,3
4013040538,2024-05,2
4013040538,2024-07,2
4013040538,2024-08,2
4013040539,2022-04,3
4013040539,2022-06,1
4013040539,2022-07,2
4013040539,2022-08,1
4013040539,2022-09,1
4013040539,2022-10,2
4013040539,2022-12,1
4013040539,2023-01,1
4013040539,2023-03,1
4013040539,2023-04,1
4013040539,2023-05,2
4013040539,2023-06,1
4013040539,2023-09,1
4013040539,2023-10,1
4013040539,2023-11,2
4013040539,2023-12,1
4013040539,2024-01,1
4013040539,2024-02,6
4013040539,2024-04,1
4013040539,2024-05,2
4013040539,2024-06,1
4013040539,2024-07,1
4013040539,2024-09,3
4013040539,2024-10,3
4013040540,2022-01,3
4013040540,2022-02,5
4013040540,2022-04,2
4013040540,2022-05,2
4013040540,2022-06,2
4013040540,2022-07,4
4013040540,2022-08,6
